"","Producto","Cant","Unidad","Valor Unitario","Valor Total","IGV","Importe Total","TOTAL","Entrega Emision GRE"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","12/31/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","9.66","19.32","3.48","22.8","","12/31/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","1","BOTELLA","9.87","9.87","1.78","11.65","","12/31/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","14.7","44.1","7.94","52.04","","12/31/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","36","BOTELLA","9.87","355.32","63.96","419.28","","12/31/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","1","BOTELLA","8.61","8.61","1.55","10.16","","12/31/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","12/31/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","12/31/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","12/31/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","12/31/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","12/31/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","10","BOTELLA","9.87","98.7","17.77","116.47","","12/31/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","5","BOTELLA","14.7","73.5","13.23","86.73","","12/31/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","12/31/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","1","BOTELLA","9.87","9.87","1.78","11.65","","12/31/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","2","BOTELLA","14.7","29.4","5.29","34.69","","12/31/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","12/31/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","12/31/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","2","BOTELLA","14.7","29.4","5.29","34.69","","12/31/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","8","BOTELLA","14.7","117.6","21.17","138.77","","12/31/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","12/31/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","1/2/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","1/2/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","1/2/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","14.7","44.1","7.94","52.04","","1/2/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","1/2/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","1/2/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","1/2/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","1/2/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","12/31/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","12/31/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","12/31/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","12/31/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","12/31/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","1/2/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","9.66","19.32","3.48","22.8","","1/2/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","1","BOTELLA","9.87","9.87","1.78","11.65","","1/2/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","2","BOTELLA","14.7","29.4","5.29","34.69","","1/2/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","24","BOTELLA","9.87","236.88","42.64","279.52","","12/31/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","4","BOTELLA","8.61","34.44","6.2","40.64","","12/31/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","12/31/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","12/31/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","14","BOTELLA","14.7","205.8","37.04","242.84","","12/31/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","10","CAJA","76","760","136.8","896.8","S/896.80","1/4/2025"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","S/2,779.57","1/8/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","1/8/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","1/8/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","7","BOTELLA","14.7","102.9","18.52","121.42","","1/8/2025"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","24","BOTELLA","9.87","236.88","42.64","279.52","","1/8/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","1/8/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","9","BOTELLA","9.87","88.83","15.99","104.82","","1/8/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","1/8/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","9","BOTELLA","14.7","132.3","23.81","156.11","","1/8/2025"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","1/9/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","1/9/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","1/9/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","8","BOTELLA","14.7","117.6","21.17","138.77","","1/9/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","1/8/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","9.66","19.32","3.48","22.8","","1/8/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","2","BOTELLA","14.7","29.4","5.29","34.69","","1/8/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","1/9/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","10","BOTELLA","14.7","147","26.46","173.46","","1/9/2025"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","1/9/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","6","BOTELLA","8.61","51.66","9.3","60.96","","1/9/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","1/9/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","1/9/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","12","BOTELLA","14.7","176.4","31.75","208.15","","1/9/2025"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","1/8/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","1/8/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","1/8/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","9.66","19.32","3.48","22.8","","1/8/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","1/8/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","1/8/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","1/8/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","5","BOTELLA","9.66","48.3","8.69","56.99","","1/8/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","1/8/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","1/8/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","9.66","19.32","3.48","22.8","","1/8/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","1","BOTELLA","14.7","14.7","2.65","17.35","","1/8/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","1/8/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","9.66","19.32","3.48","22.8","","1/8/2025"
"","PULPA DE MARACUYA X 8 UNID X 1 KG","2","CAJA","112","224","40.32","264.32","S/264.32","1/8/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","12","BOTELLA","16","192","34.56","226.56","S/1,039.34","1/9/2025"
"","JARABE DE GOMA TASKY X 1 LITRO","12","BOTELLA","9.5","114","20.52","134.52","","1/9/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","12","BOTELLA","12.4","148.8","26.78","175.58","","1/9/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","12","BOTELLA","12.5","150","27","177","","1/9/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","12","BOTELLA","10.5","126","22.68","148.68","","1/9/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","12","BOTELLA","12.5","150","27","177","","1/9/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","180","BOTELLA","9.87","1,776.60","319.79","2,096.39","S/2,096.39","1/9/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","12","BOTELLA","14.7","176.4","31.75","208.15","S/624.46","1/9/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","1/9/2025"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","1/9/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","12","BOTELLA","9.66","115.92","20.87","136.79","","1/9/2025"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","17","CAJA","96","1,632.00","293.76","1,925.76","S/1,925.76","1/9/2025"
"","ZUMO DE LIMON CONGELADO X 1 UNID X 5 KG","60","BOLSA","45","2,700.00","486","3,186.00","S/3,186.00","1/10/2025"
"","PULPA DE LIMON CONGELADA X 8 UNID X 1 LITRO","601","BOLSAS","10","6,010.00","1,081.80","7,091.80","S/7,091.80","1/13/2025"
"","PULPA DE MARACUYA X 8 UNID X 1 KG","1","CAJA","96","96","17.28","113.28","S/844.29","1/13/2025"
"","COMPOTA DE FRESA BALDE X 4.8 KG","12","BALDE","46.5","558","100.44","658.44","","1/13/2025"
"","COMPOTA DE ARANDANOS BALDE X 5 KG","1","BALDE","61.5","61.5","11.07","72.57","","1/13/2025"
"","MERMELADA TASKY X 20 KG","1","BALDE","115","115","20.7","135.7","S/135.70","1/15/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","60","BOTELLA","9.66","579.6","104.33","683.93","S/1,379.75","1/15/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","24","BOTELLA","9.87","236.88","42.64","279.52","","1/15/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","24","BOTELLA","14.7","352.8","63.5","416.3","","1/15/2025"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","12","CAJA","96","1,152.00","207.36","1,359.36","S/1,359.36","1/15/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","12","BOTELLA","16","192","34.56","226.56","S/1,039.34","1/15/2025"
"","JARABE DE GOMA TASKY X 1 LITRO","12","BOTELLA","9.5","114","20.52","134.52","","1/15/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","12","BOTELLA","12.4","148.8","26.78","175.58","","1/15/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","12","BOTELLA","12.5","150","27","177","","1/15/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","12","BOTELLA","10.5","126","22.68","148.68","","1/15/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","12","BOTELLA","12.5","150","27","177","","1/15/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","S/1,734.60","1/16/2025"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","1/16/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","1/16/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","9","BOTELLA","14.7","132.3","23.81","156.11","","1/16/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","4","BOTELLA","8.61","34.44","6.2","40.64","","1/15/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","8","BOTELLA","9.66","77.28","13.91","91.19","","1/15/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","1/15/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","8","BOTELLA","14.7","117.6","21.17","138.77","","1/15/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","1/16/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","1/16/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","1/16/2025"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","1/15/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","1/15/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","2","BOTELLA","14.7","29.4","5.29","34.69","","1/16/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","1/15/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","1/15/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","10","BOTELLA","14.7","147","26.46","173.46","","1/15/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","1/16/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","1","BOTELLA","9.87","9.87","1.78","11.65","","1/16/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","1/16/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","1/16/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","4","BOTELLA","8.61","34.44","6.2","40.64","","1/15/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","1/15/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","1/15/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","1/15/2025"
"","COMPOTA DE FRESA BALDE X 4.8 KG","4","BALDE","46.5","186","33.48","219.48","S/219.48","1/16/2025"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","4","CAJA","96","384","69.12","453.12","S/525.69","1/16/2025"
"","COMPOTA DE ARANDANOS BALDE X 5 KG","1","BALDE","61.5","61.5","11.07","72.57","","1/16/2025"
"","RELLENO PASTELERO DE FRESA X 18 KG","1","BALDE","115","115","20.7","135.7","S/201.78","1/16/2025"
"","MERMELADA DE FRESA X 5 KG","1","BALDE","33","33","5.94","38.94","","1/16/2025"
"","PULPA DE MIX BERRY CONGELADA X 1 KG","1","BOLSA","23","23","4.14","27.14","","1/16/2025"
"","ZUMO DE LIMON CONGELADO X 1 UNID X 5 KG","68","BOLSA","45","3,060.00","550.8","3,610.80","S/3,610.80","1/17/2025"
"","ZUMO DE LIMON X 1KG","6","BOLSA","13","78","14.04","92.04","S/160.48","1/17/2025"
"","PULPA DE MARACUYA X 1 KG","4","BOLSA","12","48","8.64","56.64","","1/17/2025"
"","ENVIO","1","BOLSA","10","10","1.8","11.8","","1/17/2025"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","13","CAJA","88","1,144.00","205.92","1,349.92","S/1,349.92","1/20/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","S/1,670.67",""
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","9","BOTELLA","14.7","132.3","23.81","156.11","",""
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","1/22/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","8","BOTELLA","14.7","117.6","21.17","138.77","","1/22/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","5","BOTELLA","14.7","73.5","13.23","86.73","","1/22/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","2","BOTELLA","14.7","29.4","5.29","34.69","",""
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","36","BOTELLA","9.87","355.32","63.96","419.28","","1/22/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","1/22/2025"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","1/22/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","1/22/2025"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","",""
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","",""
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","8","BOTELLA","14.7","117.6","21.17","138.77","","1/22/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","24","BOTELLA","16","384","69.12","453.12","S/1,265.90",""
"","JARABE DE GOMA TASKY X 1 LITRO","12","BOTELLA","9.5","114","20.52","134.52","",""
"","JARABE DE GRANADA TASKY X 1 LITRO","12","BOTELLA","12.4","148.8","26.78","175.58","",""
"","JARABE DE MANZANA TASKY X 1 LITRO","12","BOTELLA","12.5","150","27","177","",""
"","JARABE DE GRANADINA TASKY X 1 LITRO","12","BOTELLA","10.5","126","22.68","148.68","",""
"","JARABE DE GUAYABA TASKY X 1 LITRO","12","BOTELLA","12.5","150","27","177","",""
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","24","CAJA","96","2,304.00","414.72","2,718.72","S/2,718.72",""
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","14","70","12.6","82.6","S/100.30",""
"","ENVIO","1","","15","15","2.7","17.7","",""
"","PULPA DE MARACUYA X 8 UNID X 1 KG","2","CAJA","112","224","40.32","264.32","S/264.32",""
"","PULPA DE MARACUYA X 1 KG","100","BOLSAS","14","1,400.00","252","1,652.00","S/1,652.00",""
"","ZUMO DE LIMON CONGELADO X 1 LITRO","3","BOLSAS","11.02","33.05","5.95","39","S/49.00",""
"","ENVIO","1","UNIDAD","8.47","8.47","1.53","10","",""
"","JARABE DE GRANADA TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","S/1,103.21",""
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","24","BOTELLA","9.87","236.88","42.64","279.52","",""
"","JARABE DE GUAYABA TASKY X 1 LITRO","60","BOTELLA","9.66","579.6","104.33","683.93","",""
"","COMPOTA DE FRESA BALDE X 4.8 KG","2","BALDE","46.5","93","16.74","109.74","S/109.74","1/28/2025"
"","CONCENTRADO DE MANGO BOTELLA X 1 KG","2","BOTELLA","14","28","5.04","33.04","S/33.04","1/28/2025"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","4","CAJA","96","384","69.12","453.12","S/453.12","1/28/2025"
"","MERMELADA DE ROCOTO TASKY X 5 KG","44","BOLSA","67.5","2,970.00","534.6","3,504.60","S/3,504.60","1/29/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","12.29","24.58","4.42","29","S/29.00","1/28/2025"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","S/1,738.81","1/28/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","9","BOTELLA","14.7","132.3","23.81","156.11","","1/28/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","3","BOTELLA","8.61","25.83","4.65","30.48","","1/29/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","1/29/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","1/29/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","1/28/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","3","BOTELLA","8.61","25.83","4.65","30.48","","1/29/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","1/29/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","10","BOTELLA","14.7","147","26.46","173.46","","1/29/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","1","BOTELLA","9.87","9.87","1.78","11.65","","1/28/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","14.7","44.1","7.94","52.04","","1/28/2025"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","1/29/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","10","BOTELLA","14.7","147","26.46","173.46","","1/29/2025"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","1/30/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","1/30/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","1/30/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","14.7","44.1","7.94","52.04","","1/30/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","4","BOTELLA","8.61","34.44","6.2","40.64","","1/30/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","1/30/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","12","BOTELLA","14.7","176.4","31.75","208.15","","1/30/2025"
"","JARABE DE GRANADA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","1/29/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","1/29/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","36","BOTELLA","16","576","103.68","679.68","S/962.88","1/28/2025"
"","JARABE DE GOMA TASKY X 1 LITRO","12","BOTELLA","9.5","114","20.52","134.52","","1/28/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","12","BOTELLA","10.5","126","22.68","148.68","","1/28/2025"
"","RELLENO DE FRESA X 3 UNID X 5 KG","2","CAJA","135","270","48.6","318.6","S/540.44","1/29/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","1/29/2024"
"","PULPA DE MARACUYA X 8 UNID X 1 KG","1","CAJA","92","92","16.56","108.56","","1/29/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","4","BOLSA","11.02","44.07","7.93","52","S/153.00",""
"","PULPA DE MARACUYA X 8 UNID X 1 KG","5","BOLSA","12.03","60.17","10.83","71","",""
"","ENVIO","1","UNIDAD","25.42","25.42","4.58","30","",""
"","PULPA DE MANGO X 8 UNID X 1 KG","1","CAJA","68.8","68.8","12.38","81.18","S/81.18","1/29/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","24","BOTELLA","9.87","236.88","42.64","279.52","S/2,973.60","1/30/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","12","BOTELLA","14.7","176.4","31.75","208.15","","1/30/2025"
"","JARABE DE GUAYABA TASKY X 1 LITRO","120","BOTELLA","9.66","1,159.20","208.66","1,367.86","","1/30/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","96","BOTELLA","9.87","947.52","170.55","1,118.07","","1/30/2025"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","17","CAJA","96","1,632.00","293.76","1,925.76","S/1,925.76","1/30/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","36","BOTELLA","16","576","103.68","679.68","S/1,529.28","1/29/2025"
"","JARABE DE GOMA TASKY X 1 LITRO","36","BOTELLA","9.5","342","61.56","403.56","","1/31/2025"
"","JARABE DE GRANADINA TASKY X 1 LITRO","36","BOTELLA","10.5","378","68.04","446.04","","1/29/2025"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","15.25","45.76","8.24","53.99","S/97.50","1/30/2025"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","1","BOTELLA","12.29","12.29","2.21","14.5","","1/30/2025"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","12.29","24.58","4.42","29","","1/30/2025"
"","PULPA DE MARACUYA X 8 UNID X 1 KG","1","CAJA","92","92","16.56","108.56","S/108.56","1/31/2025"
"","ZUMO DE LIMON CONGELADO X 1 UNID X 5 KG","60","BOLSA","45","2,700.00","486","3,186.00","S/3,186.00","1/31/2025"
"","PULPA DE LIMON CONGELADA X 8 UNID X 1 LITRO","601","BOLSAS","10","6,010.00","1,081.80","7,091.80","S/7,091.80","1/31/2025"
"","ZUMO DE LIMON CONGELADO X 1 UNID X 5 KG","60","BOLSA","44","2,640.00","475.2","3,115.20","S/3,115.20",""
