"","Producto","Cant","Unidad","Valor Unitario","Valor Total","IGV","Importe Total","TOTAL","Entrega Emision GRE"
"","PULPA DE MARACUYA X 8 UNID X 1 KG","2","CAJA","80","160","28.8","188.8","S/188.80","3/27/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","14","42","7.56","49.56","S/49.56",""
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","S/3,928.41","4/4/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","4/4/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","4/2/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","4/2/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","4/2/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","4/2/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","4/2/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","12","BOTELLA","9.66","115.92","20.87","136.79","","4/2/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","4/3/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","4/3/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","4/3/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","4/3/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","4/3/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","4/2/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","4/2/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","4/3/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","4/3/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","4/3/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","4/3/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","6","BOTELLA","8.61","51.66","9.3","60.96","","4/2/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","4/2/2024"
